unique_trip_code,start_date,end_date,pairing_length,flight_count_by_day,airport_by_day,flight_time,duty_time,credit,fatigue_unit,usd_meals,cad_meals
C7045,04,7,4,4-2-2-1,"[('Day 1', [('YYC', 'YWG'), ('YWG', 'YOW'), ('YOW', 'YUL'), ('YUL', 'MSP')]), ('Day 2', [('MSP', 'YYZ'), ('YYZ', 'MSP')]), ('Day 3', [('MSP', 'YYZ'), ('YYZ', 'YWG')]), ('Day 4', [('YWG', 'YYC')])]",72.32,30.42,21.35,38.42,185.14,151.55
C7046,05,8,4,4-4-3-2,"[('Day 1', [('YYC', 'YWG'), ('YWG', 'YOW'), ('YOW', 'YUL'), ('YUL', 'MSP')]), ('Day 2', [('MSP', 'YYZ'), ('YYZ', 'DTW'), ('DTW', 'YYZ'), ('YYZ', 'YUL')]), ('Day 3', [('YUL', 'LGA'), ('LGA', 'YUL'), ('YUL', 'LGA')]), ('Day 4', [('LGA', 'YUL'), ('YUL', 'YYC')])]",88.21,41.42,23.45,53.42,210.12,191.18
C7047,06,9,4,4-4-2-1,"[('Day 1', [('YYC', 'YWG'), ('YWG', 'YOW'), ('YOW', 'YUL'), ('YUL', 'STL')]), ('Day 2', [('STL', 'YYZ'), ('YYZ', 'YQG'), ('YQG', 'YYZ'), ('YYZ', 'MSP')]), ('Day 3', [('MSP', 'YYZ'), ('YYZ', 'YWG')]), ('Day 4', [('YWG', 'YYC')])]",72.32,35.43,23.05,45.43,185.14,151.55
C7048,07,10,4,2-4-4-2,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'RDU')]), ('Day 2', [('RDU', 'YYZ'), ('YYZ', 'RDU'), ('RDU', 'YYZ'), ('YYZ', 'RDU')]), ('Day 3', [('RDU', 'YYZ'), ('YYZ', 'YQG'), ('YQG', 'YYZ'), ('YYZ', 'MSP')]), ('Day 4', [('MSP', 'YYZ'), ('YYZ', 'YYC')])]",77.15,41.26,22.31,52.26,290.20,71.47
C7049,08,11,4,4-2-4-2,"[('Day 1', [('YYC', 'YWG'), ('YWG', 'YOW'), ('YOW', 'YUL'), ('YUL', 'STL')]), ('Day 2', [('STL', 'YUL'), ('YUL', 'STL')]), ('Day 3', [('STL', 'YYZ'), ('YYZ', 'YQG'), ('YQG', 'YYZ'), ('YYZ', 'MSP')]), ('Day 4', [('MSP', 'YYZ'), ('YYZ', 'YYC')])]",80.2,39.58,23.52,50.58,290.20,71.47
C7050,09,12,4,2-4-4-2,"[('Day 1', [('YYC', 'YUL'), ('YUL', 'DCA')]), ('Day 2', [('DCA', 'YYZ'), ('YYZ', 'RDU'), ('RDU', 'YYZ'), ('YYZ', 'RDU')]), ('Day 3', [('RDU', 'YYZ'), ('YYZ', 'DTW'), ('DTW', 'YYZ'), ('YYZ', 'STL')]), ('Day 4', [('STL', 'YYZ'), ('YYZ', 'YYC')])]",78.22,41.27,22.57,52.27,290.20,111.10
C7051,12,15,4,2-3-3-1,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'DCA')]), ('Day 2', [('DCA', 'YUL'), ('YUL', 'ORD'), ('ORD', 'YUL')]), ('Day 3', [('YUL', 'YSJ'), ('YSJ', 'YUL'), ('YUL', 'YWG')]), ('Day 4', [('YWG', 'YYC')])]",72.42,31.13,20.04,39.13,105.06,231.63
C7052,12,15,4,4-2-2-2,"[('Day 1', [('YYC', 'YWG'), ('YWG', 'YOW'), ('YOW', 'YUL'), ('YUL', 'MSP')]), ('Day 2', [('MSP', 'YYZ'), ('YYZ', 'MSP')]), ('Day 3', [('MSP', 'YYZ'), ('YYZ', 'PHL')]), ('Day 4', [('PHL', 'YYZ'), ('YYZ', 'YYC')])]",79.17,35.46,21.51,44.46,290.20,71.47
C7053,13,16,4,2-2-2-2,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'STL')]), ('Day 2', [('STL', 'YUL'), ('YUL', 'STL')]), ('Day 3', [('STL', 'YUL'), ('YUL', 'EWR')]), ('Day 4', [('EWR', 'YUL'), ('YUL', 'YYC')])]",77.5,32.32,19.28,39.32,290.20,111.10
C7054,15,18,4,4-4-3-4,"[('Day 1', [('YYC', 'YWG'), ('YWG', 'YOW'), ('YOW', 'YUL'), ('YUL', 'MSP')]), ('Day 2', [('MSP', 'YYZ'), ('YYZ', 'DTW'), ('DTW', 'YYZ'), ('YYZ', 'YUL')]), ('Day 3', [('YUL', 'LGA'), ('LGA', 'YUL'), ('YUL', 'YQB')]), ('Day 4', [('YQB', 'YUL'), ('YUL', 'YQB'), ('YQB', 'YUL'), ('YUL', 'YYC')])]",88.21,42.42,24.13,56.42,144.69,256.61
C7055,15,18,4,2-2-4-2,"[('Day 1', [('YYC', 'YUL'), ('YUL', 'DCA')]), ('Day 2', [('DCA', 'YUL'), ('YUL', 'DCA')]), ('Day 3', [('DCA', 'YYZ'), ('YYZ', 'DTW'), ('DTW', 'YYZ'), ('YYZ', 'CVG')]), ('Day 4', [('CVG', 'YYZ'), ('YYZ', 'YYC')])]",76.35,34.24,19.11,43.24,290.20,71.47
C7056,16,19,4,4-2-2-2,"[('Day 1', [('YYC', 'YWG'), ('YWG', 'YOW'), ('YOW', 'YUL'), ('YUL', 'EWR')]), ('Day 2', [('EWR', 'YUL'), ('YUL', 'LGA')]), ('Day 3', [('LGA', 'YUL'), ('YUL', 'LGA')]), ('Day 4', [('LGA', 'YYZ'), ('YYZ', 'YYC')])]",77.47,36.53,20.21,44.53,290.20,71.47
C7057/16,16,19,4,2-4-4-2,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'STL')]), ('Day 2', [('STL', 'YYZ'), ('YYZ', 'RDU'), ('RDU', 'YYZ'), ('YYZ', 'RDU')]), ('Day 3', [('RDU', 'YYZ'), ('YYZ', 'YQG'), ('YQG', 'YYZ'), ('YYZ', 'MSP')]), ('Day 4', [('MSP', 'YYZ'), ('YYZ', 'YYC')])]",77.15,40.58,22.3,51.58,290.20,71.47
C7057/17,17,20,4,2-4-4-2,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'STL')]), ('Day 2', [('STL', 'YYZ'), ('YYZ', 'RDU'), ('RDU', 'YYZ'), ('YYZ', 'RDU')]), ('Day 3', [('RDU', 'YYZ'), ('YYZ', 'YQG'), ('YQG', 'YYZ'), ('YYZ', 'MSP')]), ('Day 4', [('MSP', 'YYZ'), ('YYZ', 'YYC')])]",77.15,40.58,22.3,51.58,290.20,71.47
C7058,18,21,4,4-4-3-2,"[('Day 1', [('YYC', 'YWG'), ('YWG', 'YOW'), ('YOW', 'YUL'), ('YUL', 'MSP')]), ('Day 2', [('MSP', 'YYZ'), ('YYZ', 'DTW'), ('DTW', 'YYZ'), ('YYZ', 'YUL')]), ('Day 3', [('YUL', 'LGA'), ('LGA', 'YUL'), ('YUL', 'PHL')]), ('Day 4', [('PHL', 'YYZ'), ('YYZ', 'YYC')])]",88.27,40.36,23.08,52.36,210.12,191.18
C7059/18,18,21,4,1-2-2-1,"[('Day 1', [('YYC', 'YWG')]), ('Day 2', [('YWG', 'YYC'), ('YYC', 'YWG')]), ('Day 3', [('YWG', 'YYC'), ('YYC', 'YWG')]), ('Day 4', [('YWG', 'YYC')])]",72.32,18.11,18.08,23.11,0.00,336.69
C7059/22,22,25,4,1-2-2-1,"[('Day 1', [('YYC', 'YWG')]), ('Day 2', [('YWG', 'YYC'), ('YYC', 'YWG')]), ('Day 3', [('YWG', 'YYC'), ('YYC', 'YWG')]), ('Day 4', [('YWG', 'YYC')])]",72.32,18.11,18.08,23.11,0.00,336.69
C7060,18,21,4,2-4-4-3,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'STL')]), ('Day 2', [('STL', 'YYZ'), ('YYZ', 'CVG'), ('CVG', 'YYZ'), ('YYZ', 'CLT')]), ('Day 3', [('CLT', 'YYZ'), ('YYZ', 'DTW'), ('DTW', 'YYZ'), ('YYZ', 'YUL')]), ('Day 4', [('YUL', 'LGA'), ('LGA', 'YUL'), ('YUL', 'YYC')])]",85.16,43.26,22.57,55.26,249.75,151.55
C7061,19,22,4,2-4-4-2,"[('Day 1', [('YYC', 'YUL'), ('YUL', 'DCA')]), ('Day 2', [('DCA', 'YYZ'), ('YYZ', 'DTW'), ('DTW', 'YYZ'), ('YYZ', 'STL')]), ('Day 3', [('STL', 'YYZ'), ('YYZ', 'YQG'), ('YQG', 'YYZ'), ('YYZ', 'MSP')]), ('Day 4', [('MSP', 'YYZ'), ('YYZ', 'YYC')])]",76.35,40.18,21.11,51.18,290.20,71.47
C7062,21,24,4,2-4-4-3,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'RDU')]), ('Day 2', [('RDU', 'YYZ'), ('YYZ', 'CVG'), ('CVG', 'YYZ'), ('YYZ', 'CLT')]), ('Day 3', [('CLT', 'YYZ'), ('YYZ', 'DTW'), ('DTW', 'YYZ'), ('YYZ', 'YUL')]), ('Day 4', [('YUL', 'LGA'), ('LGA', 'YUL'), ('YUL', 'YYC')])]",85.16,43.54,22.58,55.54,249.75,151.55
C7063,21,24,4,2-4-2-2,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'STL')]), ('Day 2', [('STL', 'YYZ'), ('YYZ', 'YQG'), ('YQG', 'YYZ'), ('YYZ', 'MSP')]), ('Day 3', [('MSP', 'YYZ'), ('YYZ', 'PHL')]), ('Day 4', [('PHL', 'YUL'), ('YUL', 'YYC')])]",77.5,37.11,19.44,46.11,290.20,111.10
C7064,22,25,4,2-4-4-2,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'STL')]), ('Day 2', [('STL', 'YYZ'), ('YYZ', 'RDU'), ('RDU', 'YYZ'), ('YYZ', 'RDU')]), ('Day 3', [('RDU', 'YYZ'), ('YYZ', 'YQG'), ('YQG', 'YYZ'), ('YYZ', 'MSP')]), ('Day 4', [('MSP', 'YYZ'), ('YYZ', 'YYC')])]",77.15,40.58,22.3,51.58,290.20,71.47
C7065,22,25,4,2-4-4-2,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'RDU')]), ('Day 2', [('RDU', 'YYZ'), ('YYZ', 'DTW'), ('DTW', 'YYZ'), ('YYZ', 'STL')]), ('Day 3', [('STL', 'YYZ'), ('YYZ', 'RDU'), ('RDU', 'YYZ'), ('YYZ', 'RDU')]), ('Day 4', [('RDU', 'YYZ'), ('YYZ', 'YYC')])]",79.02,42.17,23.18,53.17,290.20,111.10
C7066,23,26,4,2-4-3-2,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'CLT')]), ('Day 2', [('CLT', 'YYZ'), ('YYZ', 'DTW'), ('DTW', 'YYZ'), ('YYZ', 'YUL')]), ('Day 3', [('YUL', 'LGA'), ('LGA', 'YUL'), ('YUL', 'ORD')]), ('Day 4', [('ORD', 'YUL'), ('YUL', 'YYC')])]",85.44,39.24,21.26,49.24,210.12,191.18
C7067,24,27,4,2-5-3-1,"[('Day 1', [('YYC', 'YUL'), ('YUL', 'LGA')]), ('Day 2', [('LGA', 'YYZ'), ('YYZ', 'DTW'), ('DTW', 'YYZ'), ('YYZ', 'DTW'), ('DTW', 'YYZ')]), ('Day 3', [('YYZ', 'MSP'), ('MSP', 'YYZ'), ('YYZ', 'EWR')]), ('Day 4', [('EWR', 'YYC')])]",80.45,37.07,21.3,47.07,210.12,191.18
C7068,25,28,4,4-3-4-1,"[('Day 1', [('YYC', 'YWG'), ('YWG', 'YOW'), ('YOW', 'YUL'), ('YUL', 'EWR')]), ('Day 2', [('EWR', 'YUL'), ('YUL', 'YOW'), ('YOW', 'YWG')]), ('Day 3', [('YWG', 'YYZ'), ('YYZ', 'DTW'), ('DTW', 'YYZ'), ('YYZ', 'EWR')]), ('Day 4', [('EWR', 'YYC')])]",84.4,41.13,23.15,52.13,145.51,255.79
C7069,25,28,4,3-3-3-2,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'STL'), ('STL', 'YYZ')]), ('Day 2', [('YYZ', 'CVG'), ('CVG', 'YYZ'), ('YYZ', 'YUL')]), ('Day 3', [('YUL', 'LGA'), ('LGA', 'YUL'), ('YUL', 'LGA')]), ('Day 4', [('LGA', 'YUL'), ('YUL', 'YYC')])]",85.44,38.56,21.26,48.56,65.43,335.87
C7070,25,28,4,2-2-2-2,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'ATL')]), ('Day 2', [('ATL', 'YUL'), ('YUL', 'DFW')]), ('Day 3', [('DFW', 'YUL'), ('YUL', 'ORD')]), ('Day 4', [('ORD', 'YUL'), ('YUL', 'YYC')])]",85.44,38.44,21.27,45.44,315.18,86.12
C7071,26,29,4,3-3-3-1,"[('Day 1', [('YYC', 'YVR'), ('YVR', 'YYC'), ('YYC', 'YWG')]), ('Day 2', [('YWG', 'YOW'), ('YOW', 'YUL'), ('YUL', 'YWG')]), ('Day 3', [('YWG', 'YOW'), ('YOW', 'YUL'), ('YUL', 'YWG')]), ('Day 4', [('YWG', 'YYC')])]",76.44,36.37,21.05,44.37,0.00,336.69
C7072,27,30,4,1-2-2-1,"[('Day 1', [('YYC', 'YWG')]), ('Day 2', [('YWG', 'YUL'), ('YUL', 'YDF')]), ('Day 3', [('YDF', 'YYZ'), ('YYZ', 'EWR')]), ('Day 4', [('EWR', 'YYC')])]",71.55,24.58,18.15,29.58,65.43,310.89
C7073/28,28,31,4,3-1-4-2,"[('Day 1', [('YYC', 'YVR'), ('YVR', 'YYC'), ('YYC', 'YWG')]), ('Day 2', [('YWG', 'YOW')]), ('Day 3', [('YOW', 'DCA'), ('DCA', 'YOW'), ('YOW', 'YUL'), ('YUL', 'ORD')]), ('Day 4', [('ORD', 'YUL'), ('YUL', 'YYC')])]",90.59,35.3,22.45,44.3,65.43,335.87
C7073/29,29,32,4,3-1-4-2,"[('Day 1', [('YYC', 'YVR'), ('YVR', 'YYC'), ('YYC', 'YWG')]), ('Day 2', [('YWG', 'YOW')]), ('Day 3', [('YOW', 'DCA'), ('DCA', 'YOW'), ('YOW', 'YUL'), ('YUL', 'ORD')]), ('Day 4', [('ORD', 'YUL'), ('YUL', 'YYC')])]",90.59,35.3,22.45,44.3,65.43,335.87
C7074,29,32,4,3-3-2-1,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'CVG'), ('CVG', 'YYZ')]), ('Day 2', [('YYZ', 'BNA'), ('BNA', 'YUL'), ('YUL', 'YDF')]), ('Day 3', [('YDF', 'YYZ'), ('YYZ', 'EWR')]), ('Day 4', [('EWR', 'YYC')])]",84.5,36.14,21.49,44.14,65.43,335.87
